iter	Passed	Remaining
625	6799	4062
626	6805	4048
627	6816	4037
628	6824	4025
629	6832	4012
630	6838	3999
631	6844	3985
632	6850	3971
633	6857	3958
634	6865	3946
635	6875	3934
636	6880	3921
637	6889	3909
638	6895	3895
639	6902	3882
640	6909	3869
641	6916	3856
642	6922	3843
643	6928	3829
644	6934	3816
645	6940	3803
646	6948	3791
647	6957	3779
648	6964	3766
649	6971	3753
650	6981	3742
651	6991	3731
652	7000	3720
653	7008	3707
654	7014	3694
655	7026	3684
656	7033	3671
657	7040	3659
658	7050	3648
659	7059	3636
660	7065	3623
661	7072	3611
662	7079	3598
663	7082	3584
664	7086	3569
665	7089	3555
666	7092	3541
667	7095	3526
668	7097	3511
669	7101	3497
670	7107	3484
671	7112	3471
672	7117	3458
673	7125	3446
674	7134	3434
675	7139	3421
676	7146	3409
677	7153	3397
678	7165	3387
679	7180	3378
680	7186	3366
681	7194	3354
682	7201	3342
683	7209	3330
684	7219	3320
685	7243	3315
686	7262	3308
687	7273	3298
688	7281	3286
689	7287	3274
690	7294	3261
691	7300	3249
692	7306	3236
693	7313	3224
694	7320	3212
695	7327	3200
696	7335	3188
697	7344	3177
698	7350	3165
699	7360	3154
700	7367	3142
701	7374	3130
702	7379	3117
703	7385	3105
704	7392	3093
705	7398	3081
706	7414	3072
707	7421	3060
708	7426	3048
709	7431	3035
710	7439	3023
711	7444	3011
712	7457	3001
713	7463	2989
714	7471	2978
715	7479	2966
716	7486	2955
717	7492	2942
718	7498	2930
719	7505	2918
720	7515	2908
721	7520	2895
722	7528	2884
723	7536	2873
724	7545	2862
725	7552	2850
726	7563	2840
727	7568	2827
728	7575	2816
729	7580	2803
730	7591	2793
731	7596	2781
732	7601	2768
733	7607	2757
734	7619	2747
735	7632	2737
736	7652	2730
737	7660	2719
738	7666	2707
739	7675	2696
740	7681	2685
741	7687	2672
742	7695	2661
743	7700	2649
744	7710	2639
745	7717	2627
746	7726	2616
747	7733	2605
748	7740	2594
749	7746	2582
750	7753	2570
751	7759	2558
752	7766	2547
753	7771	2535
754	7777	2523
755	7783	2512
756	7788	2500
757	7793	2488
758	7800	2476
759	7805	2465
760	7814	2454
761	7819	2442
762	7824	2430
763	7829	2418
764	7835	2407
